Time	Channel A	Channel B
(s)	(mV)	(V)

0.00000000	3.56456200	2.01757900
0.00050000	3.56456200	2.01757900
0.00100000	3.56456200	2.01757900
0.00150000	3.56456200	2.01757900
0.00200000	3.11746600	2.01757900
0.00250000	3.56456200	2.01757900
0.00300000	3.11746600	2.01757900
0.00350000	3.56456200	2.01757900
0.00400000	3.11746600	2.01757900
0.00450000	3.11746600	2.01757900
0.00500000	3.11746600	2.01757900
0.00550000	3.56456200	2.01757900
0.00600000	3.56456200	2.01757900
0.00650000	3.11746600	2.01757900
0.00700000	3.56456200	2.01757900
0.00750000	3.56456200	2.01757900
0.00800000	3.56456200	2.01757900
0.00850000	3.11746600	2.01757900
0.00900000	3.56456200	2.01757900
0.00950000	3.56456200	2.01757900
0.01000000	3.56456200	2.01757900
0.01050000	3.56456200	2.01757900
0.01100000	3.56456200	2.01757900
0.01150000	3.56456200	2.01757900
0.01200000	3.11746600	2.01757900
0.01250000	3.56456200	2.01757900
0.01300000	3.56456200	2.01757900
0.01350000	3.56456200	2.01757900
0.01400000	3.56456200	2.01757900
0.01450000	3.56456200	2.01757900
0.01500000	3.56456200	2.01757900
0.01550000	3.56456200	2.01757900
0.01600000	3.56456200	2.01757900
0.01650000	3.56456200	2.01757900
0.01700000	3.56456200	2.01757900
0.01750000	3.56456200	2.01757900
0.01800000	3.56456200	2.01757900
0.01850000	3.56456200	2.01757900
0.01900000	3.56456200	2.01757900
0.01950000	3.56456200	2.01757900
0.02000000	3.11746600	2.01757900
0.02050000	3.11746600	2.01757900
0.02100000	3.56456200	2.01757900
0.02150000	3.56456200	2.01757900
0.02200000	3.56456200	2.01757900
0.02250000	3.56456200	2.01757900
0.02300000	3.56456200	2.01757900
0.02350000	3.56456200	2.01757900
0.02400000	3.56456200	2.01757900
0.02450000	3.56456200	2.01757900
0.02500000	3.56456200	2.01757900
0.02550000	3.56456200	2.01757900
0.02600000	3.11746600	2.01757900
0.02650000	3.56456200	2.01757900
0.02700000	3.56456200	2.01757900
0.02750000	3.56456200	2.01757900
0.02800000	3.56456200	2.01757900
0.02850000	3.56456200	2.01757900
0.02900000	3.56456200	2.01757900
0.02950000	3.56456200	2.01757900
0.03000000	3.56456200	2.01757900
0.03050000	3.56456200	2.01757900
0.03100000	3.56456200	2.01757900
0.03150000	3.56456200	2.01757900
0.03200000	3.56456200	2.01757900
0.03250000	3.56456200	2.01757900
0.03300000	3.56456200	2.01757900
0.03350000	3.56456200	2.01757900
0.03400000	3.56456200	2.01757900
0.03450000	3.56456200	2.01757900
0.03500000	3.56456200	2.01757900
0.03550000	3.56456200	2.01757900
0.03600000	3.56456200	2.01757900
0.03650000	3.11746600	2.01757900
0.03700000	3.56456200	2.01757900
