Time	Channel A
(s)	(V)

-50.00010024	3.19330400
-50.00005024	3.19315200
-50.00000024	3.19315200
-49.99995024	3.19315200
-49.99990024	3.19330400
-49.99985024	3.19345700
-49.99980024	3.19345700
-49.99975024	3.19345700
-49.99970024	3.19345700
-49.99965024	3.19360900
-49.99960024	3.19360900
-49.99955024	3.19376200
-49.99950024	3.19376200
-49.99945024	3.19376200
-49.99940024	3.19391500
-49.99935024	3.19391500
-49.99930024	3.19391500
-49.99925024	3.19391500
-49.99920024	3.19391500
-49.99915024	3.19391500
-49.99910024	3.19391500
-49.99905024	3.19391500
-49.99900024	3.19406700
-49.99895024	3.19391500
-49.99890024	3.19391500
-49.99885024	3.19391500
-49.99880024	3.19406700
-49.99875024	3.19406700
-49.99870024	3.19406700
-49.99865024	3.19406700
-49.99860024	3.19406700
-49.99855024	3.19406700
-49.99850024	3.19391500
-49.99845024	3.19391500
-49.99840024	3.19391500
-49.99835024	3.19391500
-49.99830024	3.19391500
-49.99825024	3.19391500
-49.99820024	3.19391500
-49.99815024	3.19391500
-49.99810024	3.19391500
-49.99805024	3.19391500
-49.99800024	3.19406700
-49.99795024	3.19406700
-49.99790024	3.19406700
-49.99785024	3.19406700
-49.99780024	3.19391500
-49.99775024	3.19391500
-49.99770024	3.19391500
-49.99765024	3.19391500
-49.99760024	3.19391500
-49.99755024	3.19376200
-49.99750024	3.19376200
-49.99745024	3.19376200
-49.99740024	3.19376200
-49.99735024	3.19376200
-49.99730024	3.19360900
-49.99725024	3.19360900
-49.99720024	3.19345700
-49.99715024	3.19345700
-49.99710024	3.19345700
-49.99705024	3.19345700
-49.99700024	3.19345700
-49.99695024	3.19345700
-49.99690024	3.19345700
-49.99685024	3.19330400
-49.99680024	3.19315200
-49.99675024	3.19315200
-49.99670024	3.19284700
-49.99665024	3.19284700
-49.99660024	3.19269400
-49.99655024	3.19269400
-49.99650024	3.19269400
-49.99645024	3.19269400
-49.99640024	3.19269400
-49.99635024	3.19269400
-49.99630024	3.19254100
-49.99625024	3.19254100
-49.99620024	3.19254100
-49.99615024	3.19254100
-49.99610024	3.19254100
-49.99605024	3.19254100
-49.99600024	3.19238900
-49.99595024	3.19238900
-49.99590024	3.19254100
-49.99585024	3.19238900
-49.99580024	3.19238900
-49.99575024	3.19238900
-49.99570024	3.19223600
-49.99565024	3.19223600
-49.99560024	3.19223600
-49.99555024	3.19223600
-49.99550024	3.19223600
-49.99545024	3.19223600
-49.99540024	3.19223600
-49.99535024	3.19223600
-49.99530024	3.19223600
-49.99525024	3.19223600
-49.99520024	3.19223600
-49.99515024	3.19223600
-49.99510024	3.19223600
-49.99505024	3.19223600
-49.99500024	3.19208400
-49.99495024	3.19193100
-49.99490024	3.19193100
-49.99485024	3.19193100
-49.99480024	3.19208400
-49.99475024	3.19208400
-49.99470024	3.19193100
-49.99465024	3.19193100
-49.99460024	3.19193100
-49.99455024	3.19162600
-49.99450024	3.19162600
-49.99445024	3.19162600
-49.99440024	3.19162600
-49.99435024	3.19162600
-49.99430024	3.19162600
-49.99425024	3.19162600
-49.99420024	3.19162600
-49.99415024	3.19162600
-49.99410024	3.19162600
-49.99405024	3.19162600
-49.99400024	3.19162600
-49.99395024	3.19162600
-49.99390024	3.19162600
-49.99385024	3.19162600
-49.99380024	3.19162600
-49.99375024	3.19193100
-49.99370024	3.19193100
-49.99365024	3.19193100
-49.99360024	3.19193100
-49.99355024	3.19193100
-49.99350024	3.19193100
-49.99345024	3.19193100
-49.99340024	3.19193100
-49.99335024	3.19193100
-49.99330024	3.19193100
-49.99325024	3.19193100
-49.99320024	3.19193100
-49.99315024	3.19193100
-49.99310024	3.19193100
-49.99305024	3.19193100
-49.99300024	3.19193100
-49.99295024	3.19193100
-49.99290024	3.19193100
-49.99285024	3.19193100
-49.99280024	3.19193100
-49.99275024	3.19193100
-49.99270024	3.19193100
-49.99265024	3.19208400
-49.99260024	3.19208400
-49.99255024	3.19208400
-49.99250024	3.19193100
-49.99245024	3.19193100
-49.99240024	3.19193100
-49.99235024	3.19193100
-49.99230024	3.19193100
-49.99225024	3.19193100
-49.99220024	3.19193100
-49.99215024	3.19193100
-49.99210024	3.19193100
-49.99205024	3.19193100
-49.99200024	3.19193100
