	3.29919434
8.01700020	3.29919434
8.02000046	3.29919434
8.02200031	3.29919434
8.02499962	3.29919434
8.02799988	3.29919434
8.02999973	3.29919434
8.03299999	3.29919434
8.03499985	3.29919434
8.03800011	3.29919434
8.04100037	3.29919434
8.04300022	3.29919434
8.04599953	3.29919434
8.04800034	3.29919434
8.05099964	3.29919434
8.05399990	3.29919434
8.05599976	3.29919434
8.05900002	3.29919434
8.06099987	3.29919434
8.06400013	3.29919434
8.06700039	3.29919434
8.06900024	3.29919434
8.07199955	3.29919434
8.07400036	3.29919434
8.07699966	3.29919434
8.07999992	3.29919434
8.08199978	3.29919434
8.08500004	3.29919434
8.09300041	3.29919434
8.09799957	3.29919434
8.08699989	3.29919434
8.09000015	3.29919434
8.09500027	3.29919434
8.10099983	3.29919434
8.10299969	3.29919434
8.10599995	3.29919434
8.10799980	3.29919434
8.11100006	3.29919434
8.11400032	3.29919434
8.11600018	3.29919434
8.11900043	3.29919434
8.12100029	3.29919434
8.12399960	3.29919434
8.12699986	3.29919434
8.12899971	3.29919434
8.13199997	3.29919434
8.13399982	3.29919434
8.13700008	3.29919434
8.14000034	3.29919434
8.14200020	3.29919434
8.14500046	3.29919434
8.14799976	3.29919434
8.14999962	3.29919434
8.15299988	3.29919434
8.15499973	3.29919434
8.15799999	3.29919434
8.16100025	3.29919434
8.16300011	3.29919434
8.16600037	3.29919434
8.16800022	3.29919434
8.17099953	3.29919434
8.17399979	3.29919434
8.17599964	3.29919434
8.17899990	3.29919434
8.18099976	3.29919434
8.18400002	3.29919434
8.18700027	3.29919434
8.18900013	3.29919434
8.19200039	3.29919434
8.19499969	3.29919434
8.19699955	3.29919434
8.19999981	3.29919434
8.20199966	3.29919434
8.20499992	3.29919434
8.20800018	3.29919434
8.21000004	3.29919434
8.21300030	3.29919434
8.21500015	3.29919434
8.21800041	3.29919434
8.22099972	3.29919434
8.22299957	3.29919434
8.22599983	3.29919434
8.22799969	3.29919434
8.23099995	3.29919434
8.23400021	3.29919434
8.23600006	3.29919434
8.23900032	3.29919434
8.24199963	3.29919434
8.24400043	3.29919434
8.24699974	3.29919434
8.24899960	3.29919434
8.25199986	3.29919434
8.25500011	3.29919434
