Time	Channel A
(s)	(V)

-112.00598145	1.63884400
-112.00398145	1.63884400
-112.00198145	1.63884400
-111.99998145	1.63884400
-111.99798144	1.59459200
-111.99598144	1.63884400
-111.99398144	1.68309600
-111.99198144	1.63884400
-111.98998144	1.63884400
-111.98798144	1.63884400
-111.98598144	1.63884400
-111.98398144	1.63884400
-111.98198144	1.59459200
-111.97998144	1.63884400
-111.97798144	1.63884400
-111.97598144	1.63884400
-111.97398144	1.59459200
-111.97198144	1.59459200
-111.96998144	1.59459200
-111.96798144	1.59459200
-111.96598144	1.59459200
-111.96398144	1.59459200
-111.96198144	1.55034000
-111.95998144	1.55034000
-111.95798144	1.59459200
-111.95598144	1.55034000
-111.95398144	1.59459200
-111.95198144	1.59459200
-111.94998144	1.55034000
-111.94798144	1.59459200
-111.94598144	1.55034000
-111.94398144	1.59459200
-111.94198144	1.59459200
-111.93998144	1.55034000
-111.93798144	1.55034000
-111.93598144	1.59459200
-111.93398144	1.55034000
-111.93198144	1.59459200
-111.92998144	1.55034000
-111.92798144	1.59459200
-111.92598144	1.59459200
-111.92398144	1.59459200
-111.92198144	1.59459200
-111.91998144	1.55034000
-111.91798144	1.59459200
-111.91598144	1.59459200
-111.91398144	1.55034000
-111.91198144	1.55034000
-111.90998144	1.59459200
-111.90798144	1.59459200
-111.90598144	1.59459200
-111.90398144	1.55034000
-111.90198144	1.55034000
-111.89998144	1.55034000
-111.89798144	1.55034000
-111.89598144	1.59459200
-111.89398144	1.59459200
-111.89198144	1.59459200
-111.88998144	1.59459200
-111.88798144	1.55034000
-111.88598144	1.55034000
-111.88398144	1.55034000
-111.88198144	1.59459200
-111.87998144	1.59459200
-111.87798144	1.55034000
-111.87598144	1.55034000
-111.87398144	1.55034000
-111.87198144	1.55034000
-111.86998144	1.59459200
-111.86798144	1.55034000
-111.86598144	1.55034000
-111.86398144	1.59459200
-111.86198144	1.59459200
-111.85998144	1.55034000
-111.85798144	1.55034000
-111.85598144	1.55034000
-111.85398144	1.55034000
-111.85198144	1.55034000
-111.84998144	1.55034000
-111.84798144	1.55034000
-111.84598144	1.59459200
-111.84398144	1.59459200
-111.84198144	1.59459200
-111.83998144	1.59459200
-111.83798144	1.59459200
-111.83598144	1.59459200
-111.83398144	1.59459200
-111.83198144	1.59459200
-111.82998144	1.59459200
-111.82798144	1.59459200
-111.82598144	1.59459200
-111.82398144	1.59459200
-111.82198144	1.59459200
-111.81998144	1.59459200
-111.81798144	1.59459200
-111.81598144	1.59459200
-111.81398144	1.59459200
-111.81198144	1.59459200
-111.80998144	1.59459200
-111.80798144	1.59459200
-111.80598144	1.59459200
-111.80398144	1.63884400
-111.80198144	1.59459200
-111.79998144	1.59459200
-111.79798144	1.72734800
-111.79598144	1.72734800
-111.79398144	1.72734800
-111.79198144	1.68309600
-111.78998144	1.68309600
-111.78798143	1.68309600
-111.78598143	1.72734800
-111.78398143	1.72734800
-111.78198143	1.72734800
-111.77998143	1.68309600
-111.77798143	1.72734800
-111.77598143	1.68309600
-111.77398143	1.68309600
-111.77198143	1.68309600
-111.76998143	1.68309600
-111.76798143	1.68309600
-111.76598143	1.68309600
-111.76398143	1.68309600
-111.76198143	1.68309600
-111.75998143	1.68309600
-111.75798143	1.68309600
-111.75598143	1.63884400
-111.75398143	1.59459200
-111.75198143	1.59459200
-111.74998143	1.59459200
-111.74798143	1.59459200
-111.74598143	1.59459200
-111.74398143	1.55034000
-111.74198143	1.55034000
-111.73998143	1.55034000
-111.73798143	1.55034000
-111.73598143	1.55034000
-111.73398143	1.55034000
-111.73198143	1.55034000
-111.72998143	1.55034000
-111.72798143	1.55034000
-111.72598143	1.55034000
-111.72398143	1.59459200
-111.72198143	1.59459200
-111.71998143	1.55034000
-111.71798143	1.59459200
-111.71598143	1.59459200
-111.71398143	1.59459200
-111.71198143	1.59459200
-111.70998143	1.59459200
-111.70798143	1.59459200
-111.70598143	1.59459200
-111.70398143	1.59459200
-111.70198143	1.59459200
-111.69998143	1.59459200
-111.69798143	1.59459200
-111.69598143	1.55034000
-111.69398143	1.59459200
-111.69198143	1.59459200
-111.68998143	1.59459200
-111.68798143	1.55034000
-111.68598143	1.55034000
-111.68398143	1.59459200
-111.68198143	1.55034000
