Time	Channel A
(s)	(V)

0.00000000	1.60197800
0.00100000	1.61973900
0.00200000	1.61973900
0.00300000	1.60197800
0.00400000	1.61973900
0.00500000	1.61973900
0.00600000	1.61973900
0.00700000	1.60197800
0.00800000	1.61973900
0.00900000	1.61973900
0.01000000	1.61973900
0.01100000	1.60197800
0.01200000	1.61973900
0.01300000	1.61973900
0.01400000	1.61973900
0.01500000	1.61973900
0.01600000	1.61973900
0.01700000	1.61973900
0.01800000	1.61973900
0.01900000	1.63756200
0.02000000	1.61973900
0.02100000	1.61973900
0.02200000	1.61973900
0.02300000	1.61973900
0.02400000	1.61973900
0.02500000	1.63756200
0.02600000	1.61973900
0.02700000	1.61973900
0.02800000	1.63756200
0.02900000	1.61973900
0.03000000	1.61973900
0.03100000	1.63756200
0.03200000	1.61973900
0.03300000	1.61973900
0.03400000	1.61973900
0.03500000	1.61973900
0.03600000	1.61973900
0.03700000	1.61973900
0.03800000	1.61973900
0.03900000	1.61973900
0.04000000	1.60197800
0.04100000	1.58415500
0.04200000	1.61973900
0.04300000	1.61973900
0.04400000	1.60197800
0.04500000	1.61973900
0.04600000	1.61973900
0.04700000	1.58415500
0.04800000	1.60197800
0.04900000	1.61973900
0.05000000	1.60197800
0.05100000	1.60197800
0.05200000	1.60197800
0.05300000	1.58415500
0.05400000	1.60197800
0.05500000	1.61973900
0.05600000	1.60197800
0.05700000	1.60197800
0.05800000	1.60197800
0.05900000	1.58415500
0.06000000	1.60197800
0.06100000	1.61973900
0.06200000	1.61973900
0.06300000	1.61973900
0.06400000	1.61973900
0.06500000	1.63756200
0.06600000	1.63756200
0.06700000	1.60197800
0.06800000	1.61973900
0.06900000	1.61973900
0.07000000	1.60197800
0.07100000	1.63756200
0.07200000	1.61973900
0.07300000	1.61973900
0.07400000	1.61973900
0.07500000	1.63756200
0.07600000	1.61973900
0.07700000	1.61973900
0.07800000	1.61973900
0.07900000	1.61973900
0.08000000	1.61973900
0.08100000	1.61973900
0.08200000	1.60197800
0.08300000	1.63756200
0.08400000	1.63756200
0.08500000	1.61973900
0.08600000	1.61973900
0.08700000	1.63756200
0.08800000	1.61973900
0.08900000	1.61973900
0.09000000	1.61973900
0.09100000	1.61973900
0.09200000	1.61973900
0.09300000	1.60197800
0.09400000	1.63756200
0.09500000	1.63756200
0.09600000	1.60197800
0.09700000	1.63756200
0.09800000	1.63756200
0.09900000	1.61973900
0.10000000	1.61973900
0.10100000	1.63756200
0.10200000	1.61973900
0.10300000	1.61973900
0.10400000	1.63756200
0.10500000	1.61973900
0.10600001	1.61973900
0.10700001	1.61973900
0.10800001	1.61973900
0.10900001	1.61973900
0.11000001	1.63756200
0.11100001	1.61973900
0.11200001	1.61973900
0.11300001	1.61973900
0.11400001	1.61973900
0.11500001	1.61973900
0.11600001	1.63756200
0.11700001	1.61973900
0.11800001	1.61973900
0.11900001	1.61973900
0.12000001	1.61973900
0.12100001	1.61973900
0.12200001	1.61973900
0.12300001	1.58415500
0.12400001	1.61973900
0.12500001	1.60197800
0.12600001	1.60197800
0.12700001	1.60197800
0.12800001	1.61973900
0.12900001	1.56639300
0.13000001	1.61973900
0.13100001	1.60197800
0.13200001	1.58415500
0.13300001	1.60197800
0.13400001	1.61973900
0.13500001	1.58415500
0.13600001	1.60197800
0.13700001	1.61973900
0.13800001	1.58415500
0.13900001	1.61973900
0.14000001	1.60197800
0.14100001	1.60197800
0.14200001	1.61973900
0.14300001	1.61973900
0.14400001	1.58415500
0.14500001	1.60197800
0.14600001	1.63756200
0.14700001	1.61973900
0.14800001	1.61973900
0.14900001	1.61973900
0.15000001	1.61973900
0.15100001	1.61973900
0.15200001	1.61973900
0.15300001	1.61973900
0.15400001	1.61973900
0.15500001	1.58415500
0.15600001	1.61973900
0.15700001	1.61973900
0.15800001	1.60197800
0.15900001	1.61973900
0.16000001	1.61973900
0.16100001	1.60197800
0.16200001	1.61973900
0.16300001	1.61973900
0.16400001	1.58415500
0.16500001	1.61973900
0.16600001	1.61973900
0.16700001	1.60197800
0.16800001	1.61973900
0.16900001	1.60197800
0.17000001	1.58415500
0.17100001	1.60197800
0.17200001	1.61973900
0.17300001	1.60197800
0.17400001	1.61973900
0.17500001	1.61973900
