Time	Channel A
(s)	(V)

-5.00019979	1.94845400
-5.00009979	1.94845400
-4.99999979	1.94845400
-4.99989979	1.94845400
-4.99979979	1.94845400
-4.99969979	1.94845400
-4.99959979	1.94845400
-4.99949979	1.94845400
-4.99939979	1.94845400
-4.99929979	1.94845400
-4.99919979	1.94845400
-4.99909979	1.94845400
-4.99899979	1.94845400
-4.99889979	1.94845400
-4.99879979	1.94845400
-4.99869979	1.94845400
-4.99859979	1.94845400
-4.99849979	1.94845400
-4.99839979	1.94845400
-4.99829979	1.94845400
-4.99819979	1.94845400
-4.99809979	1.94845400
-4.99799979	1.94845400
-4.99789979	1.94845400
-4.99779979	1.94845400
-4.99769979	1.94845400
-4.99759979	1.94845400
-4.99749979	1.94845400
-4.99739979	1.94845400
-4.99729979	1.94845400
-4.99719979	1.94845400
-4.99709979	1.94845400
-4.99699979	1.94845400
-4.99689979	1.94845400
-4.99679979	1.94845400
-4.99669979	1.94845400
-4.99659979	1.94845400
-4.99649979	1.94845400
-4.99639979	1.94845400
-4.99629979	1.94845400
-4.99619979	1.94845400
-4.99609979	1.94845400
-4.99599979	1.94845400
-4.99589979	1.94845400
-4.99579979	1.94845400
-4.99569979	1.94845400
-4.99559979	1.94845400
-4.99549979	1.94845400
-4.99539979	1.94845400
-4.99529979	1.94845400
-4.99519979	1.94845400
-4.99509979	1.94845400
-4.99499979	1.94845400
-4.99489979	1.94845400
-4.99479979	1.94845400
-4.99469979	1.94845400
-4.99459979	1.94845400
-4.99449979	1.94845400
-4.99439979	1.94845400
-4.99429979	1.94845400
-4.99419979	1.94845400
-4.99409979	1.94845400
-4.99399979	1.94845400
-4.99389979	1.94845400
-4.99379979	1.94845400
-4.99369979	1.94845400
-4.99359979	1.94845400
-4.99349979	1.94845400
-4.99339979	1.94845400
-4.99329979	1.94845400
-4.99319979	1.94845400
-4.99309979	1.94845400
-4.99299979	1.94845400
-4.99289979	1.94845400
-4.99279979	1.94845400
-4.99269979	1.94845400
-4.99259979	1.94845400
-4.99249979	1.94845400
-4.99239979	1.94845400
-4.99229979	1.94845400
-4.99219979	1.94845400
-4.99209979	1.94845400
-4.99199979	1.94845400
-4.99189979	1.94845400
-4.99179979	1.94845400
-4.99169979	1.94845400
-4.99159979	1.94845400
-4.99149979	1.94845400
-4.99139979	1.94845400
-4.99129979	1.94845400
-4.99119979	1.94845400
-4.99109979	1.94845400
-4.99099980	1.94845400
-4.99089980	1.94845400
-4.99079980	1.94845400
-4.99069980	1.94845400
-4.99059980	1.94845400
-4.99049980	1.94845400
-4.99039980	1.94845400
-4.99029980	1.94845400
-4.99019980	1.94845400
-4.99009980	1.94845400
-4.98999980	1.94845400
-4.98989980	1.94845400
-4.98979980	1.94845400
-4.98969980	1.94845400
-4.98959980	1.94845400
-4.98949980	1.94845400
-4.98939980	1.94845400
-4.98929980	1.94845400
-4.98919980	1.94845400
-4.98909980	1.94845400
-4.98899980	1.94845400
-4.98889980	1.94845400
-4.98879980	1.94845400
-4.98869980	1.94845400
-4.98859980	1.94845400
-4.98849980	1.94845400
-4.98839980	1.94845400
-4.98829980	1.94845400
-4.98819980	1.94845400
-4.98809980	1.94845400
-4.98799980	1.94845400
-4.98789980	1.94845400
-4.98779980	1.94845400
-4.98769980	1.94845400
-4.98759980	1.94845400
-4.98749980	1.94845400
-4.98739980	1.94845400
-4.98729980	1.94845400
-4.98719980	1.94845400
-4.98709980	1.94845400
-4.98699980	1.94845400
-4.98689980	1.94845400
-4.98679980	1.94845400
-4.98669980	1.94845400
-4.98659980	1.94845400
-4.98649980	1.94845400
-4.98639980	1.94845400
-4.98629980	1.94845400
-4.98619980	1.94845400
-4.98609980	1.94845400
-4.98599980	1.94845400
-4.98589980	1.94845400
-4.98579980	1.94845400
-4.98569980	1.94845400
-4.98559980	1.94845400
-4.98549980	1.94845400
-4.98539980	1.94845400
-4.98529980	1.94845400
-4.98519980	1.94845400
-4.98509980	1.94845400
-4.98499980	1.94845400
-4.98489980	1.94845400
-4.98479980	1.94845400
-4.98469980	1.94845400
-4.98459980	1.94845400
-4.98449980	1.94845400
-4.98439980	1.94845400
-4.98429980	1.94845400
-4.98419980	1.94845400
-4.98409980	1.94845400
-4.98399980	1.94845400
