Time	Value
4.92700005	3.29919434
4.92700005	3.29919434
4.927034
4.92700005	3.29919434
4.92700005	3.29919434
4.92700005	3.29919434
4.92700005	3.29919434
4.92700005	3.29919434
4.92700005	3.29919434
4.92700005	3.29919434
4.92799997	3.29919434
4.92799997	3.29919434
4.92799997	3.29919434
4.92799997	3.29919434
4.92799997	3.29919434
4.92799997	3.29919434
4.920005	3.29919434
4.92700005	3.29919434
4.92700005	3.29919434
4.92700005	3.29919434
4.92700005	3.29919434
4.92700005	3.299194Time	Value
4.96700001	3.29919434
4.96700001	3.29919434
4.96700001	3.29919434
4.96700001	3.29919434
4.96700001	3.29919434
4.96700001	3.29919434
4.96700001	3.29919434
4.96700001	3.29919434
4.96700001	3.29919434
4.96700001	3.29919434
4.96700001	3.29919434
4.96700001	3.29919434
4.96700001	3.29919434
4.96700001	3.29919434
4.96700001	3.29919434
4.96700001	3.29919434
4.96700001	3.29919434
4.96700001	3.29919434
4.96700001	3.29919434
4.96700001	3.29919434
4.96700001	3.29919434
4.96Time	Value
5.00600004	3.29919434
5.00600004	3.29919434
5.00600004	3.29919434
5.00600004	3.29919434
5.00600004	3.29919434
5.00600004	3.29919434
5.00600004	3.29919434
5.00600004	3.29919434
5.00600004	3.29919434
5.00600004	3.29919434
5.00600004	3.29919434
5.00600004	3.29919434
5.00600004	3.29919434
5.00600004	3.29919434
5.00600004	3.29919434
5.00699997	3.29919434
5.00699997	3.29919434
5.00699997	3.29919434
5.00699997	3.29919434
5.00699997	3.29919434
5.00699997	3.29919434
5.00Time	Value
5.04600000	3.29919434
5.04600000	3.29919434
5.04600000	3.29919434
5.04600000	3.29919434
5.04600000	3.29919434
5.04600000	3.29919434
5.04600000	3.29919434
5.04600000	3.29919434
5.04600000	3.29919434
5.04600000	3.29919434
5.04600000	3.29919434
5.04600000	3.29919434
5.04600000	3.29919434
5.04600000	3.29919434
5.04600000	3.29919434
5.04600000	3.29919434
5.04600000	3.29919434
5.04600000	3.29919434
5.04600000	3.29919434
5.04600000	3.29919434
5.04600000	3.29919434
5.04Time	Value
5.08500004	3.29919434
5.08500004	3.29919434
5.08500004	3.29919434
5.08500004	3.29919434
5.08500004	3.29919434
5.08500004	3.29919434
5.08500004	3.29919434
5.08500004	3.29919434
5.08500004	3.29919434
5.08500004	3.29919434
5.08500004	3.29919434
5.08500004	3.29919434
5.08500004	3.29919434
5.08500004	3.29919434
5.08599997	3.29919434
5.08599997	3.29919434
5.08599997	3.29919434
5.08599997	3.29919434
5.08599997	3.29919434
5.08599997	3.29919434
5.08599997	3.29919434
5.08Time	Value
5.12500000	3.29919434
5.12500000	3.29919434
5.12500000	3.29919434
5.12500000	3.29919434
5.12500000	3.29919434
5.12500000	3.29919434
5.12500000	3.29919434
5.12500000	3.29919434
5.12500000	3.29919434
5.12500000	3.29919434
5.12500000	3.29919434
5.12500000	3.29919434
5.12500000	3.29919434
5.12500000	3.29919434
5.12500000	3.29919434
5.12500000	3.29919434
5.12500000	3.29919434
5.12500000	3.29919434
