Time	Channel A
(s)	(mV)

-100.00599340	-138.92020000
-100.00399340	-138.92020000
-100.00199340	-138.92020000
-99.99999340	-138.90500000
-99.99799340	-138.90500000
-99.99599340	-138.90500000
-99.99399340	-138.87450000
-99.99199340	-138.84390000
-99.98999340	-138.87450000
-99.98799340	-138.87450000
-99.98599340	-138.87450000
-99.98399339	-138.84390000
-99.98199339	-138.82870000
-99.97999339	-138.81340000
-99.97799339	-138.81340000
-99.97599339	-138.81340000
-99.97399339	-138.81340000
-99.97199339	-138.79820000
-99.96999339	-138.79820000
-99.96799339	-138.79820000
-99.96599339	-138.79820000
-99.96399339	-138.81340000
-99.96199339	-138.81340000
-99.95999339	-138.79820000
-99.95799339	-138.79820000
-99.95599339	-138.78290000
-99.95399339	-138.78290000
-99.95199339	-138.78290000
-99.94999339	-138.76770000
-99.94799339	-138.75240000
-99.94599339	-138.73710000
-99.94399339	-138.73710000
-99.94199339	-138.73710000
-99.93999339	-138.73710000
-99.93799339	-138.70660000
-99.93599339	-138.67610000
-99.93399339	-138.66080000
-99.93199339	-138.63030000
-99.92999339	-138.63030000
-99.92799339	-138.61510000
-99.92599339	-138.58450000
-99.92399339	-138.55400000
-99.92199339	-138.52350000
-99.91999339	-138.52350000
-99.91799339	-138.50830000
-99.91599339	-138.50830000
-99.91399339	-138.50830000
-99.91199339	-138.49300000
-99.90999339	-138.46250000
-99.90799339	-138.44720000
-99.90599339	-138.44720000
-99.90399339	-138.43200000
-99.90199339	-138.41670000
-99.89999339	-138.40140000
-99.89799339	-138.37090000
-99.89599339	-138.35570000
-99.89399339	-138.32510000
-99.89199339	-138.30990000
-99.88999339	-138.27940000
-99.88799339	-138.24880000
-99.88599339	-138.24880000
-99.88399339	-138.24880000
-99.88199339	-138.24880000
-99.87999339	-138.24880000
-99.87799339	-138.24880000
-99.87599339	-138.23360000
-99.87399339	-138.23360000
-99.87199339	-138.20310000
-99.86999339	-138.20310000
-99.86799339	-138.23360000
-99.86599339	-138.23360000
-99.86399339	-138.23360000
-99.86199339	-138.23360000
-99.85999339	-138.23360000
-99.85799339	-138.23360000
-99.85599339	-138.23360000
-99.85399339	-138.23360000
-99.85199339	-138.23360000
-99.84999339	-138.20310000
-99.84799339	-138.18780000
-99.84599339	-138.17250000
-99.84399339	-138.18780000
-99.84199339	-138.20310000
-99.83999339	-138.20310000
-99.83799339	-138.20310000
-99.83599339	-138.20310000
-99.83399339	-138.18780000
-99.83199339	-138.20310000
-99.82999339	-138.20310000
-99.82799339	-138.20310000
-99.82599339	-138.20310000
-99.82399339	-138.18780000
-99.82199339	-138.17250000
-99.81999339	-138.17250000
-99.81799339	-138.18780000
-99.81599339	-138.17250000
-99.81399339	-138.18780000
-99.81199339	-138.18780000
-99.80999339	-138.17250000
-99.80799339	-138.14200000
-99.80599339	-138.12680000
-99.80399339	-138.11150000
-99.80199339	-138.11150000
-99.79999339	-138.11150000
-99.79799339	-138.11150000
-99.79599339	-138.12680000
-99.79399339	-138.14200000
-99.79199339	-138.15730000
-99.78999339	-138.15730000
-99.78799339	-138.15730000
-99.78599339	-138.15730000
-99.78399339	-138.17250000
-99.78199339	-138.17250000
-99.77999339	-138.17250000
-99.77799339	-138.15730000
-99.77599339	-138.15730000
-99.77399339	-138.15730000
-99.77199338	-138.17250000
-99.76999338	-138.18780000
-99.76799338	-138.18780000
-99.76599338	-138.18780000
-99.76399338	-138.17250000
-99.76199338	-138.15730000
-99.75999338	-138.17250000
-99.75799338	-138.17250000
-99.75599338	-138.17250000
-99.75399338	-138.17250000
-99.75199338	-138.17250000
-99.74999338	-138.17250000
-99.74799338	-138.17250000
-99.74599338	-138.17250000
-99.74399338	-138.17250000
-99.74199338	-138.17250000
-99.73999338	-138.18780000
-99.73799338	-138.18780000
-99.73599338	-138.17250000
-99.73399338	-138.17250000
-99.73199338	-138.17250000
-99.72999338	-138.15730000
-99.72799338	-138.17250000
-99.72599338	-138.15730000
-99.72399338	-138.15730000
-99.72199338	-138.14200000
-99.71999338	-138.12680000
-99.71799338	-138.11150000
-99.71599338	-138.11150000
-99.71399338	-138.12680000
-99.71199338	-138.11150000
-99.70999338	-138.11150000
-99.70799338	-138.09630000
