Time	Channel A
(s)	(V)

-5.00019979	2.48298600
-5.00009979	2.48298600
-4.99999979	2.48298600
-4.99989979	2.48298600
-4.99979979	2.48298600
-4.99969979	2.48298600
-4.99959979	2.48298600
-4.99949979	2.48298600
-4.99939979	2.48298600
-4.99929979	2.48298600
-4.99919979	2.48298600
-4.99909979	2.48298600
-4.99899979	2.48298600
-4.99889979	2.48298600
-4.99879979	2.48298600
-4.99869979	2.48298600
-4.99859979	2.48298600
-4.99849979	2.48298600
-4.99839979	2.48298600
-4.99829979	2.48298600
-4.99819979	2.48298600
-4.99809979	2.48298600
-4.99799979	2.48298600
-4.99789979	2.48298600
-4.99779979	2.48298600
-4.99769979	2.48298600
-4.99759979	2.48298600
-4.99749979	2.48298600
-4.99739979	2.48298600
-4.99729979	2.48298600
-4.99719979	2.48298600
-4.99709979	2.48298600
-4.99699979	2.48298600
-4.99689979	2.48298600
-4.99679979	2.48298600
-4.99669979	2.48298600
-4.99659979	2.48298600
-4.99649979	2.48298600
-4.99639979	2.48298600
-4.99629979	2.48298600
-4.99619979	2.48298600
-4.99609979	2.48298600
-4.99599979	2.48298600
-4.99589979	2.48298600
-4.99579979	2.48298600
-4.99569979	2.48298600
-4.99559979	2.48298600
-4.99549979	2.48298600
-4.99539979	2.48298600
-4.99529979	2.48298600
-4.99519979	2.48298600
-4.99509979	2.48298600
-4.99499979	2.48298600
-4.99489979	2.48298600
-4.99479979	2.48298600
-4.99469979	2.48298600
-4.99459979	2.48298600
-4.99449979	2.48298600
-4.99439979	2.48298600
-4.99429979	2.48298600
-4.99419979	2.48298600
-4.99409979	2.48298600
-4.99399979	2.48298600
-4.99389979	2.48298600
-4.99379979	2.48298600
-4.99369979	2.48298600
-4.99359979	2.48298600
-4.99349979	2.48298600
-4.99339979	2.48298600
-4.99329979	2.48298600
-4.99319979	2.48298600
-4.99309979	2.48298600
-4.99299979	2.48298600
-4.99289979	2.48298600
-4.99279979	2.48298600
-4.99269979	2.48298600
-4.99259979	2.48298600
-4.99249979	2.48298600
-4.99239979	2.48298600
-4.99229979	2.48298600
-4.99219979	2.48298600
-4.99209979	2.48298600
-4.99199979	2.48298600
-4.99189979	2.48298600
-4.99179979	2.48298600
-4.99169979	2.48298600
-4.99159979	2.48298600
-4.99149979	2.48298600
-4.99139979	2.48298600
-4.99129979	2.48298600
-4.99119979	2.48298600
-4.99109979	2.48298600
-4.99099980	2.48298600
-4.99089980	2.48298600
-4.99079980	2.48298600
-4.99069980	2.39448200
-4.99059980	2.48298600
-4.99049980	2.48298600
-4.99039980	2.48298600
-4.99029980	2.48298600
-4.99019980	2.48298600
-4.99009980	2.48298600
-4.98999980	2.48298600
-4.98989980	2.48298600
-4.98979980	2.48298600
-4.98969980	2.48298600
-4.98959980	2.48298600
-4.98949980	2.48298600
-4.98939980	2.48298600
-4.98929980	2.48298600
-4.98919980	2.48298600
-4.98909980	2.48298600
-4.98899980	2.48298600
-4.98889980	2.48298600
-4.98879980	2.48298600
-4.98869980	2.48298600
-4.98859980	2.48298600
-4.98849980	2.48298600
-4.98839980	2.48298600
-4.98829980	2.48298600
-4.98819980	2.48298600
-4.98809980	2.48298600
-4.98799980	2.48298600
-4.98789980	2.48298600
-4.98779980	2.48298600
-4.98769980	2.48298600
-4.98759980	2.48298600
-4.98749980	2.48298600
-4.98739980	2.48298600
-4.98729980	2.48298600
-4.98719980	2.48298600
-4.98709980	2.48298600
-4.98699980	2.48298600
-4.98689980	2.48298600
-4.98679980	2.48298600
-4.98669980	2.48298600
-4.98659980	2.48298600
-4.98649980	2.48298600
-4.98639980	2.48298600
-4.98629980	2.48298600
-4.98619980	2.48298600
-4.98609980	2.48298600
-4.98599980	2.48298600
-4.98589980	2.48298600
-4.98579980	2.48298600
-4.98569980	2.48298600
-4.98559980	2.48298600
-4.98549980	2.48298600
-4.98539980	2.48298600
-4.98529980	2.48298600
-4.98519980	2.48298600
-4.98509980	2.48298600
-4.98499980	2.48298600
-4.98489980	2.48298600
-4.98479980	2.48298600
-4.98469980	2.48298600
-4.98459980	2.48298600
-4.98449980	2.48298600
-4.98439980	2.48298600
-4.98429980	2.48298600
-4.98419980	2.48298600
-4.98409980	2.48298600
-4.98399980	2.48298600
