Time	Channel A
(s)	(V)

-5.00019979	3.54472500
-5.00009979	3.54472500
-4.99999979	3.54472500
-4.99989979	3.54472500
-4.99979979	3.54472500
-4.99969979	3.54472500
-4.99959979	3.54472500
-4.99949979	3.54472500
-4.99939979	3.54472500
-4.99929979	3.54472500
-4.99919979	3.54472500
-4.99909979	3.54472500
-4.99899979	3.54472500
-4.99889979	3.54472500
-4.99879979	3.54472500
-4.99869979	3.54472500
-4.99859979	3.54472500
-4.99849979	3.54472500
-4.99839979	3.54472500
-4.99829979	3.54472500
-4.99819979	3.54472500
-4.99809979	3.54472500
-4.99799979	3.54472500
-4.99789979	3.54472500
-4.99779979	3.54472500
-4.99769979	3.54472500
-4.99759979	3.54472500
-4.99749979	3.54472500
-4.99739979	3.54472500
-4.99729979	3.54472500
-4.99719979	3.54472500
-4.99709979	3.54472500
-4.99699979	3.54472500
-4.99689979	3.54472500
-4.99679979	3.54472500
-4.99669979	3.54472500
-4.99659979	3.54472500
-4.99649979	3.54472500
-4.99639979	3.54472500
-4.99629979	3.54472500
-4.99619979	3.54472500
-4.99609979	3.54472500
-4.99599979	3.54472500
-4.99589979	3.54472500
-4.99579979	3.54472500
-4.99569979	3.54472500
-4.99559979	3.54472500
-4.99549979	3.54472500
-4.99539979	3.54472500
-4.99529979	3.54472500
-4.99519979	3.54472500
-4.99509979	3.54472500
-4.99499979	3.54472500
-4.99489979	3.54472500
-4.99479979	3.54472500
-4.99469979	3.54472500
-4.99459979	3.54472500
-4.99449979	3.54472500
-4.99439979	3.54472500
-4.99429979	3.54472500
-4.99419979	3.54472500
-4.99409979	3.54472500
-4.99399979	3.54472500
-4.99389979	3.54472500
-4.99379979	3.54472500
-4.99369979	3.54472500
-4.99359979	3.54472500
-4.99349979	3.54472500
-4.99339979	3.54472500
-4.99329979	3.54472500
-4.99319979	3.54472500
-4.99309979	3.54472500
-4.99299979	3.54472500
-4.99289979	3.54472500
-4.99279979	3.54472500
-4.99269979	3.54472500
-4.99259979	3.54472500
-4.99249979	3.54472500
-4.99239979	3.54472500
-4.99229979	3.54472500
-4.99219979	3.54472500
-4.99209979	3.54472500
-4.99199979	3.54472500
-4.99189979	3.54472500
-4.99179979	3.54472500
-4.99169979	3.54472500
-4.99159979	3.54472500
-4.99149979	3.54472500
-4.99139979	3.54472500
-4.99129979	3.54472500
-4.99119979	3.54472500
-4.99109979	3.54472500
-4.99099980	3.54472500
-4.99089980	3.54472500
-4.99079980	3.54472500
-4.99069980	3.54472500
-4.99059980	3.54472500
-4.99049980	3.54472500
-4.99039980	3.54472500
-4.99029980	3.54472500
-4.99019980	3.54472500
-4.99009980	3.45622100
-4.98999980	3.54472500
-4.98989980	3.54472500
-4.98979980	3.54472500
-4.98969980	3.54472500
-4.98959980	3.54472500
-4.98949980	3.54472500
-4.98939980	3.54472500
-4.98929980	3.54472500
-4.98919980	3.54472500
-4.98909980	3.54472500
-4.98899980	3.54472500
-4.98889980	3.54472500
-4.98879980	3.54472500
-4.98869980	3.54472500
-4.98859980	3.54472500
-4.98849980	3.54472500
-4.98839980	3.54472500
-4.98829980	3.54472500
-4.98819980	3.54472500
-4.98809980	3.54472500
-4.98799980	3.54472500
-4.98789980	3.54472500
-4.98779980	3.54472500
-4.98769980	3.54472500
-4.98759980	3.54472500
-4.98749980	3.54472500
-4.98739980	3.54472500
-4.98729980	3.54472500
-4.98719980	3.54472500
-4.98709980	3.54472500
-4.98699980	3.54472500
-4.98689980	3.54472500
-4.98679980	3.54472500
-4.98669980	3.54472500
-4.98659980	3.54472500
-4.98649980	3.54472500
-4.98639980	3.54472500
-4.98629980	3.54472500
-4.98619980	3.54472500
-4.98609980	3.54472500
-4.98599980	3.54472500
-4.98589980	3.54472500
-4.98579980	3.54472500
-4.98569980	3.54472500
-4.98559980	3.54472500
-4.98549980	3.54472500
-4.98539980	3.54472500
-4.98529980	3.54472500
-4.98519980	3.54472500
-4.98509980	3.54472500
-4.98499980	3.54472500
-4.98489980	3.54472500
-4.98479980	3.54472500
-4.98469980	3.54472500
-4.98459980	3.54472500
-4.98449980	3.54472500
-4.98439980	3.54472500
-4.98429980	3.54472500
-4.98419980	3.54472500
-4.98409980	3.54472500
-4.98399980	3.54472500
