Time	Channel A
(ms)	(V)

-5.00351889	4.96047800
-5.00223889	4.96047800
-5.00095889	4.96047800
-4.99967889	4.96047800
-4.99839889	4.96047800
-4.99711889	4.96047800
-4.99583889	4.96047800
-4.99455889	4.96047800
-4.99327889	4.96047800
-4.99199889	4.96047800
-4.99071889	4.96047800
-4.98943889	4.96047800
-4.98815889	4.96047800
-4.98687889	4.96047800
-4.98559889	4.96047800
-4.98431889	4.96047800
-4.98303889	4.96047800
-4.98175889	4.96047800
-4.98047889	4.96047800
-4.97919889	4.96047800
-4.97791889	4.96047800
-4.97663889	4.96047800
-4.97535889	4.96047800
-4.97407889	4.96047800
-4.97279889	4.96047800
-4.97151889	4.96047800
-4.97023889	4.96047800
-4.96895889	4.96047800
-4.96767889	4.96047800
-4.96639889	4.96047800
-4.96511889	4.96047800
-4.96383889	4.96047800
-4.96255889	4.96047800
-4.96127889	4.96047800
-4.95999889	4.96047800
-4.95871889	4.96047800
-4.95743889	4.96047800
-4.95615889	4.96047800
-4.95487889	4.96047800
-4.95359889	4.96047800
-4.95231889	4.96047800
-4.95103889	5.04898200
-4.94975889	4.96047800
-4.94847889	4.96047800
-4.94719889	4.96047800
-4.94591889	4.96047800
-4.94463889	4.96047800
-4.94335889	4.96047800
-4.94207889	4.96047800
-4.94079889	4.96047800
-4.93951889	4.96047800
-4.93823889	4.96047800
-4.93695889	4.96047800
-4.93567889	4.96047800
-4.93439889	5.04898200
-4.93311889	4.96047800
-4.93183889	4.96047800
-4.93055889	4.96047800
-4.92927889	4.96047800
-4.92799889	4.96047800
-4.92671889	4.96047800
-4.92543889	4.96047800
-4.92415889	4.96047800
-4.92287889	4.96047800
-4.92159889	4.96047800
-4.92031889	4.96047800
-4.91903889	4.96047800
-4.91775889	4.96047800
-4.91647889	4.96047800
-4.91519889	4.96047800
-4.91391889	4.96047800
-4.91263889	4.96047800
-4.91135889	4.96047800
-4.91007889	4.96047800
-4.90879889	4.96047800
-4.90751889	4.96047800
-4.90623889	4.96047800
-4.90495889	4.96047800
-4.90367889	4.96047800
-4.90239889	4.96047800
-4.90111889	4.96047800
-4.89983889	4.96047800
-4.89855889	4.96047800
-4.89727889	4.96047800
-4.89599889	4.96047800
-4.89471889	4.96047800
-4.89343889	4.96047800
-4.89215889	4.96047800
-4.89087889	4.96047800
-4.88959889	4.96047800
-4.88831889	4.96047800
-4.88703889	4.96047800
-4.88575889	4.96047800
-4.88447889	4.96047800
-4.88319889	4.96047800
-4.88191889	4.96047800
-4.88063889	4.96047800
-4.87935889	4.96047800
-4.87807889	4.96047800
-4.87679889	4.96047800
-4.87551889	4.96047800
-4.87423889	4.96047800
-4.87295889	4.96047800
-4.87167889	4.96047800
-4.87039889	4.96047800
-4.86911889	4.96047800
-4.86783889	4.96047800
-4.86655889	4.96047800
-4.86527889	4.96047800
-4.86399889	4.96047800
-4.86271889	4.96047800
-4.86143889	4.96047800
-4.86015889	4.96047800
-4.85887889	4.96047800
-4.85759889	4.96047800
-4.85631889	5.04898200
-4.85503889	4.96047800
-4.85375889	4.96047800
