Time	Channel A
(s)	(V)

-5.00019979	5.13748600
-5.00009979	5.13748600
-4.99999979	5.13748600
-4.99989979	5.13748600
-4.99979979	5.13748600
-4.99969979	5.13748600
-4.99959979	5.13748600
-4.99949979	5.13748600
-4.99939979	5.13748600
-4.99929979	5.13748600
-4.99919979	5.13748600
-4.99909979	5.13748600
-4.99899979	5.13748600
-4.99889979	5.13748600
-4.99879979	5.13748600
-4.99869979	5.13748600
-4.99859979	5.13748600
-4.99849979	5.13748600
-4.99839979	5.13748600
-4.99829979	5.13748600
-4.99819979	5.13748600
-4.99809979	5.13748600
-4.99799979	5.13748600
-4.99789979	5.13748600
-4.99779979	5.13748600
-4.99769979	5.13748600
-4.99759979	5.13748600
-4.99749979	5.13748600
-4.99739979	5.13748600
-4.99729979	5.13748600
-4.99719979	5.13748600
-4.99709979	5.13748600
-4.99699979	5.13748600
-4.99689979	5.13748600
-4.99679979	5.13748600
-4.99669979	5.13748600
-4.99659979	5.13748600
-4.99649979	5.13748600
-4.99639979	5.13748600
-4.99629979	5.13748600
-4.99619979	5.13748600
-4.99609979	5.13748600
-4.99599979	5.13748600
-4.99589979	5.13748600
-4.99579979	5.13748600
-4.99569979	5.04898200
-4.99559979	5.13748600
-4.99549979	5.13748600
-4.99539979	5.13748600
-4.99529979	5.13748600
-4.99519979	5.13748600
-4.99509979	5.13748600
-4.99499979	5.13748600
-4.99489979	5.04898200
-4.99479979	5.13748600
-4.99469979	5.13748600
-4.99459979	5.13748600
-4.99449979	5.13748600
-4.99439979	5.13748600
-4.99429979	5.13748600
-4.99419979	5.13748600
-4.99409979	5.13748600
-4.99399979	5.13748600
-4.99389979	5.13748600
-4.99379979	5.13748600
-4.99369979	5.13748600
-4.99359979	5.13748600
-4.99349979	5.13748600
-4.99339979	5.13748600
-4.99329979	5.13748600
-4.99319979	5.13748600
-4.99309979	5.13748600
-4.99299979	5.04898200
-4.99289979	5.13748600
-4.99279979	5.13748600
-4.99269979	5.13748600
-4.99259979	5.13748600
-4.99249979	5.13748600
-4.99239979	5.13748600
-4.99229979	5.13748600
-4.99219979	5.13748600
-4.99209979	5.13748600
-4.99199979	5.13748600
-4.99189979	5.13748600
-4.99179979	5.13748600
-4.99169979	5.13748600
-4.99159979	5.13748600
-4.99149979	5.13748600
-4.99139979	5.13748600
-4.99129979	5.13748600
-4.99119979	5.13748600
-4.99109979	5.13748600
-4.99099980	5.13748600
-4.99089980	5.13748600
-4.99079980	5.13748600
-4.99069980	5.13748600
-4.99059980	5.13748600
-4.99049980	5.13748600
-4.99039980	5.13748600
-4.99029980	5.13748600
-4.99019980	5.13748600
-4.99009980	5.13748600
-4.98999980	5.13748600
-4.98989980	5.13748600
-4.98979980	5.13748600
-4.98969980	5.13748600
-4.98959980	5.13748600
-4.98949980	5.13748600
-4.98939980	5.13748600
-4.98929980	5.13748600
-4.98919980	5.13748600
-4.98909980	5.13748600
-4.98899980	5.13748600
-4.98889980	5.13748600
-4.98879980	5.13748600
-4.98869980	5.13748600
-4.98859980	5.04898200
-4.98849980	5.13748600
-4.98839980	5.13748600
-4.98829980	5.13748600
-4.98819980	5.13748600
-4.98809980	5.13748600
-4.98799980	5.13748600
-4.98789980	5.13748600
-4.98779980	5.13748600
-4.98769980	5.13748600
-4.98759980	5.13748600
-4.98749980	5.13748600
-4.98739980	5.13748600
-4.98729980	5.13748600
-4.98719980	5.13748600
-4.98709980	5.13748600
-4.98699980	5.13748600
-4.98689980	5.13748600
-4.98679980	5.13748600
-4.98669980	5.13748600
-4.98659980	5.13748600
-4.98649980	5.13748600
-4.98639980	5.13748600
-4.98629980	5.13748600
-4.98619980	5.13748600
-4.98609980	5.13748600
-4.98599980	5.13748600
-4.98589980	5.13748600
-4.98579980	5.13748600
-4.98569980	5.13748600
-4.98559980	5.13748600
-4.98549980	5.13748600
-4.98539980	5.13748600
-4.98529980	5.13748600
-4.98519980	5.13748600
-4.98509980	5.13748600
-4.98499980	5.13748600
-4.98489980	5.13748600
-4.98479980	5.13748600
-4.98469980	5.13748600
-4.98459980	5.13748600
-4.98449980	5.13748600
-4.98439980	5.13748600
-4.98429980	5.13748600
-4.98419980	5.13748600
-4.98409980	5.13748600
-4.98399980	5.13748600
