Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0603_1608Metric,110.2,-59.775,90.0,top
C2,10u,C_0603_1608Metric,76.25,-49.65,0.0,top
C3,10u,C_0603_1608Metric,104.8,-59.775,-90.0,top
C4,10u,C_0603_1608Metric,81.0,-52.025,90.0,top
C5,10pF,C_0402_1005Metric,81.25,-55.3,180.0,top
C6,1u,C_0603_1608Metric,114.75,-56.225,-90.0,top
C7,1u,C_0603_1608Metric,110.75,-56.225,90.0,top
C8,1u,C_0603_1608Metric,95.75,-47.6,0.0,top
C9,100n,C_0402_1005Metric,94.85,-49.5,-90.0,top
C10,100n,C_0402_1005Metric,102.6,-54.5,-90.0,top
C11,10n,C_0402_1005Metric,93.8,-52.0,90.0,top
C12,1u,C_0603_1608Metric,91.85,-52.0,90.0,top
C13,100n,C_0402_1005Metric,100.6,-44.6,-90.0,top
C14,1u,C_0603_1608Metric,90.35,-49.0,0.0,top
D1,RED,LED_0603_1608Metric,101.4,-59.8,90.0,top
D2,RED,LED_0603_1608Metric,115.3875,-60.2,180.0,top
D3,RED,LED_0603_1608Metric,99.15,-56.2,180.0,top
D4,RED,LED_0603_1608Metric,93.8,-56.2125,90.0,top
FB1,100 @ 100MHz,L_0805_2012Metric,112.75,-56.0,-90.0,top
FB2,100 @ 100MHz,L_0805_2012Metric,88.6,-52.0,90.0,top
J1,USB_B_Micro,USB_Micro-B_Molex_47346-0001,120.15,-52.2,90.0,top
R1,100,R_0402_1005Metric,83.25,-55.81,90.0,top
R2,1k,R_0402_1005Metric,101.6,-62.0,180.0,top
R3,1k,R_0402_1005Metric,115.89,-58.7875,0.0,top
R4,10k,R_0402_1005Metric,98.44,-47.8,180.0,top
R5,2k2,R_0402_1005Metric,101.35,-56.2,-90.0,top
R6,2k2,R_0402_1005Metric,95.55,-56.2,90.0,top
RV1,R_Potentiometer,Potentiometer_Bourns_3296W_Vertical,85.0,-40.2,180.0,top
U1,XC6206P332MR,SOT-23,107.5,-60.25,-90.0,top
U2,LM386,SOIC-8_3.9x4.9mm_P1.27mm,76.25,-53.25,0.0,top
U3,USBLC6-2SC6,SOT-23-6,110.0,-51.75,0.0,top
U4,STM32L432KBU6,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,98.75,-51.85,0.0,top
