Time	Channel A
(s)	(mV)

-5.00029967	-129.55110000
-5.00019967	-129.56630000
-5.00009967	-129.55110000
-4.99999967	-129.55110000
-4.99989967	-129.56630000
-4.99979967	-129.58160000
-4.99969967	-129.61210000
-4.99959967	-129.61210000
-4.99949967	-129.62730000
-4.99939967	-129.64260000
-4.99929967	-129.65790000
-4.99919967	-129.67310000
-4.99909967	-129.67310000
-4.99899967	-129.67310000
-4.99889967	-129.67310000
-4.99879967	-129.67310000
-4.99869967	-129.67310000
-4.99859967	-129.67310000
-4.99849967	-129.67310000
-4.99839967	-129.67310000
-4.99829967	-129.68840000
-4.99819967	-129.70370000
-4.99809967	-129.70370000
-4.99799967	-129.70370000
-4.99789967	-129.70370000
-4.99779967	-129.70370000
-4.99769967	-129.70370000
-4.99759967	-129.73420000
-4.99749967	-129.74940000
-4.99739967	-129.76470000
-4.99729967	-129.78000000
-4.99719967	-129.78000000
-4.99709967	-129.78000000
-4.99699967	-129.78000000
-4.99689967	-129.78000000
-4.99679967	-129.79520000
-4.99669967	-129.79520000
-4.99659967	-129.81050000
-4.99649967	-129.81050000
-4.99639967	-129.81050000
-4.99629967	-129.82570000
-4.99619967	-129.82570000
-4.99609967	-129.84100000
-4.99599967	-129.84100000
-4.99589967	-129.84100000
-4.99579967	-129.87150000
-4.99569967	-129.87150000
-4.99559967	-129.87150000
-4.99549967	-129.87150000
-4.99539967	-129.87150000
-4.99529967	-129.88680000
-4.99519967	-129.90200000
-4.99509967	-129.91730000
-4.99499967	-129.93250000
-4.99489967	-129.93250000
-4.99479967	-129.94780000
-4.99469967	-129.96310000
-4.99459967	-129.99360000
-4.99449967	-130.00880000
-4.99439967	-130.00880000
-4.99429967	-130.02410000
-4.99419967	-130.03940000
-4.99409967	-130.03940000
-4.99399967	-130.05460000
-4.99389967	-130.05460000
-4.99379967	-130.06990000
-4.99369967	-130.08510000
-4.99359967	-130.08510000
-4.99349967	-130.10040000
-4.99339967	-130.13090000
-4.99329967	-130.14620000
-4.99319967	-130.14620000
-4.99309967	-130.17670000
-4.99299967	-130.17670000
-4.99289967	-130.17670000
-4.99279967	-130.19200000
-4.99269967	-130.20720000
-4.99259967	-130.22250000
-4.99249967	-130.25300000
-4.99239967	-130.26820000
-4.99229967	-130.28350000
-4.99219967	-130.29880000
-4.99209967	-130.29880000
-4.99199967	-130.29880000
-4.99189967	-130.29880000
-4.99179967	-130.29880000
-4.99169967	-130.29880000
-4.99159967	-130.29880000
-4.99149967	-130.29880000
-4.99139967	-130.28350000
-4.99129967	-130.29880000
-4.99119967	-130.29880000
-4.99109967	-130.31400000
-4.99099967	-130.32930000
-4.99089967	-130.32930000
-4.99079967	-130.34450000
-4.99069967	-130.34450000
-4.99059967	-130.35980000
-4.99049967	-130.39030000
-4.99039967	-130.40560000
-4.99029967	-130.42080000
-4.99019967	-130.42080000
-4.99009967	-130.43610000
-4.98999967	-130.45140000
-4.98989967	-130.46660000
-4.98979967	-130.48190000
-4.98969967	-130.51240000
-4.98959967	-130.51240000
-4.98949967	-130.51240000
-4.98939967	-130.52760000
-4.98929967	-130.52760000
-4.98919967	-130.52760000
-4.98909967	-130.54290000
-4.98899967	-130.54290000
-4.98889967	-130.54290000
-4.98879967	-130.54290000
-4.98869967	-130.55820000
-4.98859967	-130.55820000
-4.98849967	-130.55820000
-4.98839967	-130.55820000
-4.98829967	-130.57340000
-4.98819967	-130.58870000
-4.98809967	-130.60390000
-4.98799967	-130.61920000
-4.98789967	-130.61920000
-4.98779967	-130.64970000
-4.98769967	-130.64970000
-4.98759967	-130.66500000
-4.98749967	-130.68030000
-4.98739967	-130.69550000
-4.98729967	-130.71080000
-4.98719967	-130.72600000
-4.98709967	-130.75650000
-4.98699967	-130.78710000
-4.98689967	-130.80230000
-4.98679967	-130.81760000
-4.98669967	-130.83280000
-4.98659967	-130.84810000
-4.98649967	-130.86340000
-4.98639967	-130.87860000
-4.98629967	-130.90910000
-4.98619967	-130.92440000
-4.98609967	-130.93970000
-4.98599967	-130.95490000
-4.98589967	-130.95490000
-4.98579967	-130.97020000
-4.98569967	-130.98540000
-4.98559967	-130.98540000
-4.98549967	-131.00070000
-4.98539967	-131.01590000
