Time	Channel A
(s)	(V)

0.00000000	1.59459200
0.00200000	1.59459200
0.00400000	1.59459200
0.00600000	1.63884400
0.00800000	1.59459200
0.01000000	1.59459200
0.01200000	1.59459200
0.01400000	1.59459200
0.01600000	1.59459200
0.01800000	1.59459200
0.02000000	1.59459200
0.02200000	1.59459200
0.02400000	1.59459200
0.02600000	1.59459200
0.02800000	1.59459200
0.03000000	1.59459200
0.03200000	1.59459200
0.03400000	1.59459200
0.03600000	1.59459200
0.03800000	1.59459200
0.04000000	1.59459200
0.04200000	1.59459200
0.04400000	1.59459200
0.04600000	1.59459200
0.04800000	1.59459200
0.05000000	1.59459200
0.05200000	1.59459200
0.05400000	1.59459200
0.05600000	1.59459200
0.05800000	1.59459200
0.06000000	1.59459200
0.06200000	1.59459200
0.06400000	1.59459200
0.06600000	1.59459200
0.06800000	1.59459200
0.07000000	1.59459200
0.07200000	1.59459200
0.07400000	1.59459200
0.07600000	1.59459200
0.07800000	1.59459200
0.08000000	1.59459200
0.08200000	1.59459200
0.08400000	1.59459200
0.08600000	1.59459200
0.08800000	1.59459200
0.09000000	1.59459200
0.09200000	1.59459200
0.09400000	1.59459200
0.09600000	1.59459200
0.09800000	1.59459200
0.10000000	1.68309600
0.10200000	1.68309600
0.10400000	1.63884400
0.10600001	1.68309600
0.10800001	1.68309600
0.11000001	1.68309600
0.11200001	1.68309600
0.11400001	1.68309600
0.11600001	1.63884400
0.11800001	1.68309600
0.12000001	1.63884400
0.12200001	1.68309600
0.12400001	1.68309600
0.12600001	1.68309600
0.12800001	1.59459200
0.13000001	1.59459200
0.13200001	1.55034000
0.13400001	1.59459200
0.13600001	1.59459200
0.13800001	1.55034000
0.14000001	1.59459200
0.14200001	1.59459200
0.14400001	1.59459200
0.14600001	1.55034000
0.14800001	1.55034000
0.15000001	1.55034000
0.15200001	1.55034000
0.15400001	1.55034000
0.15600001	1.55034000
0.15800001	1.55034000
0.16000001	1.55034000
0.16200001	1.55034000
0.16400001	1.55034000
0.16600001	1.55034000
0.16800001	1.55034000
0.17000001	1.55034000
0.17200001	1.55034000
0.17400001	1.55034000
0.17600001	1.59459200
0.17800001	1.59459200
0.18000001	1.59459200
0.18200001	1.59459200
0.18400001	1.59459200
0.18600001	1.59459200
0.18800001	1.59459200
0.19000001	1.59459200
0.19200001	1.59459200
0.19400001	1.59459200
0.19600001	1.59459200
0.19800001	1.59459200
0.20000001	1.59459200
0.20200001	1.55034000
0.20400001	1.55034000
0.20600001	1.55034000
0.20800001	1.55034000
0.21000001	1.55034000
0.21200001	1.55034000
0.21400001	1.59459200
0.21600001	1.59459200
0.21800001	1.59459200
0.22000001	1.59459200
0.22200001	1.59459200
0.22400001	1.59459200
0.22600001	1.59459200
0.22800001	1.59459200
0.23000001	1.59459200
0.23200001	1.55034000
0.23400001	1.55034000
0.23600001	1.55034000
0.23800001	1.55034000
0.24000001	1.63884400
0.24200001	1.68309600
0.24400001	1.77144700
0.24600001	1.63884400
0.24800001	1.55034000
0.25000001	1.50624100
0.25200001	1.55034000
0.25400001	1.59459200
0.25600001	1.63884400
0.25800001	1.68309600
0.26000001	1.68309600
0.26200001	1.59459200
0.26400001	1.55034000
0.26600001	1.55034000
0.26800001	1.59459200
0.27000001	1.68309600
0.27200001	1.68309600
0.27400001	1.63884400
0.27600001	1.50624100
0.27800001	1.55034000
0.28000001	1.59459200
0.28200001	1.63884400
0.28400001	1.59459200
0.28600001	1.55034000
0.28800001	1.50624100
0.29000001	1.59459200
0.29200001	1.63884400
0.29400001	1.59459200
0.29600001	1.55034000
0.29800001	1.59459200
0.30000001	1.63884400
0.30200001	1.63884400
0.30400001	1.55034000
0.30600001	1.50624100
0.30800001	1.59459200
0.31000001	1.59459200
0.31200001	1.59459200
0.31400001	1.55034000
0.31600002	1.59459200
0.31800002	1.59459200
0.32000002	1.59459200
0.32200002	1.59459200
0.32400002	1.59459200
0.32600002	1.59459200
0.32800002	1.59459200
0.33000002	1.55034000
0.33200002	1.59459200
0.33400002	1.59459200
0.33600002	1.59459200
0.33800002	1.59459200
0.34000002	1.55034000
0.34200002	1.59459200
0.34400002	1.59459200
0.34600002	1.59459200
0.34800002	1.55034000
0.35000002	1.59459200
